Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings,40+ Wickets Taken,<30.00 Bowling Avg,<8.00 Economy Rate,<25.00 Bowling Strike Rate
PC Connell (2008-2010),8,"151,8",156,10,3/8,15.60,6.11,15.3,0,0,0,0,0,0
JF Mooney (2009-2015),10,156,176,10,2/7,17.60,6.76,15.6,0,0,0,0,0,0
CA Young (2015-2017),14,246,338,10,2/15,33.80,8.24,24.6,0,0,0,0,0,0
WK McCallan (2008-2009),7,129,152,8,2/26,19.00,6.96,16.3,0,0,0,0,0,0
TE Kane (2015-2015),3,"55,2",75,7,3/19,10.71,8.03,8.0,0,0,0,0,0,0
SR Thompson (2014-2017),12,"169,8",226,6,3/10,37.66,7.92,28.5,0,0,0,0,0,0
BJ McCarthy (2017-2017),2,48,102,4,4/33,25.50,12.75,12.0,1,0,0,0,0,0
RM West (2009-2009),5,114,142,3,1/23,47.33,7.47,38.0,0,0,0,0,0,0
AR White (2008-2012),1,24,18,2,2/18,9.00,4.50,12.0,0,0,0,0,0,0
J Anderson (2015-2015),1,6,13,0,-,-,13.00,-,0,0,0,0,0,0
PS Eaglestone (2010-2010),1,12,16,0,-,-,8.00,-,0,0,0,0,0,0
NG Jones (2010-2012),2,12,14,0,-,-,7.00,-,0,0,0,0,0,0
GE Kidd (2010-2010),1,18,32,0,-,-,10.66,-,0,0,0,0,0,0
J Little (2016-2017),2,"44,4",56,0,-,-,7.30,-,0,0,0,0,0,0
GJ McCarter (2015-2015),2,30,50,0,-,-,10.00,-,0,0,0,0,0,0
A Balbirnie (2015-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
JP Bray (2009-2009),-,,-,-,-,-,-,-,-,-,0,0,0,0
EC Joyce (2012-2014),-,,-,-,-,-,-,-,-,-,0,0,0,0
RD McCann (2012-2012),-,,-,-,-,-,-,-,-,-,0,0,0,0
"NJ O'Brien (2008-2016)",-,,-,-,-,-,-,-,-,-,0,0,0,0
WTS Porterfield (2008-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
AD Poynter (2012-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
SW Poynter (2015-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
DA Rankin (2015-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
JNK Shannon (2013-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
R Strydom (2008-2008),-,,-,-,-,-,-,-,-,-,0,0,0,0
SP Terry (2016-2016),-,,-,-,-,-,-,-,-,-,0,0,0,0
GJ Thompson (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
L Tucker (2016-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
GC Wilson (2008-2017),-,,-,-,-,-,-,-,-,-,0,0,0,0
RM Haq (2007-2013),20,450,472,28,3/20,16.85,6.29,16.0,0,0,0,0,0,0
SM Sharif (2012-2017),23,"458,4",610,28,4/24,21.78,7.95,16.4,1,0,0,0,0,0
MRJ Watt (2015-2017),16,354,439,19,5/27,23.10,7.44,18.6,0,1,0,0,0,0
GD Drummond (2008-2013),17,330,381,16,3/20,23.81,6.92,20.6,0,0,0,0,0,0
RD Berrington (2008-2017),20,"253,2",305,14,3/22,21.78,7.20,18.1,0,0,0,0,0,0
JH Davey (2012-2017),13,"296,4",422,14,4/34,30.14,8.49,21.2,1,0,0,0,0,0
AC Evans (2015-2016),9,210,225,14,5/24,16.07,6.42,15.0,0,1,0,0,0,0
MA Leask (2013-2017),9,186,217,12,3/20,18.08,7.00,15.5,0,0,0,0,0,0
JD Nel (2007-2010),9,186,169,12,3/10,14.08,5.45,15.5,0,0,0,0,0,0
I Wardlaw (2013-2013),4,96,145,9,3/40,16.11,9.06,10.6,0,0,0,0,0,0
CD de Lange (2015-2017),7,162,171,8,2/17,21.37,6.33,20.2,0,0,0,0,0,0
G Goudie (2010-2013),9,147,224,7,3/22,32.00,9.02,21.2,0,0,0,0,0,0
JAR Blain (2007-2008),5,120,108,6,2/23,18.00,5.40,20.0,0,0,0,0,0,0
NM Carter (2013-2013),7,156,168,6,2/27,28.00,6.46,26.0,0,0,0,0,0,0
KJ Coetzer (2008-2017),5,66,71,5,3/25,14.20,6.45,13.2,0,0,0,0,0,0
MW Machan (2013-2016),7,"133,8",156,5,3/23,31.20,6.93,27.0,0,0,0,0,0,0
