Player,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
R Frylinck (2017-2017),2,1,1,0,0,1,1 (1ct 0st),0.500
RK Kleinveldt (2008-2013),6,1,1,0,0,1,1 (1ct 0st),0.166
CK Langeveldt (2005-2010),9,1,1,0,0,1,1 (1ct 0st),0.111
A Nel (2005-2007),2,1,1,0,0,1,1 (1ct 0st),0.500
D Paterson (2017-2017),5,1,1,0,0,1,1 (1ct 0st),0.200
AN Petersen (2010-2010),2,1,1,0,0,1,1 (1ct 0st),0.500
AL Phehlukwayo (2017-2017),9,1,1,0,0,1,1 (1ct 0st),0.111
VD Philander (2007-2007),7,1,1,0,0,1,1 (1ct 0st),0.142
JT Smuts (2017-2017),6,1,1,0,0,1,1 (1ct 0st),0.166
LL Tsotsobe (2009-2014),23,1,1,0,0,1,1 (1ct 0st),0.043
YA Abdulla (2009-2009),2,0,0,0,0,0,0,0.000
GH Bodi (2007-2007),1,0,0,0,0,0,0,0.000
N Boje (2005-2005),1,0,0,0,0,0,0,0.000
H Davids (2012-2013),9,0,0,0,0,0,0,0.000
HH Dippenaar (2006-2006),1,0,0,0,0,0,0,0.000
AJ Hall (2006-2006),2,0,0,0,0,0,0,0.000
T Henderson (2006-2006),1,0,0,0,0,0,0,0.000
GJP Kruger (2006-2006),1,0,0,0,0,0,0,0.000
E Leie (2015-2015),2,0,0,0,0,0,0,0.000
J Louw (2008-2009),2,0,0,0,0,0,0,0.000
ND McKenzie (2006-2009),2,0,0,0,0,0,0,0.000
L Ngidi (2017-2017),3,0,0,0,0,0,0,0.000
AM Phangiso (2012-2017),15,0,0,0,0,0,0,0.000
D Pretorius (2017-2017),2,0,0,0,0,0,0,0.000
AG Prince (2005-2005),1,0,0,0,0,0,0,0.000
JA Rudolph (2006-2006),1,0,0,0,0,0,0,0.000
T Shamsi (2017-2017),2,0,0,0,0,0,0,0.000
